Owner Code,Owner Name,Item Code,Item Name,Location,StockQty[Unit1],StockQty[Unit2],Inventory Qty,Qty/UOM1,UOM1,Lot6,Qty/UOM2,LastShip,Item Group,Category1,Category2,Category3,Category4,Damage Flag,Warehouse Code,Warehouse Name,AllocatedQty[Unit1],PackedQty[Unit1],InstructedQty[Unit1],LogicalQty[Unit1],ExpectQty[Unit1],AllocatedQty[Unit2],PackedQty[Unit2],InstructedQty[Unit2],LogicalQty[Unit2],ExpectQty[Unit2],UOM2,StockQty[Unit3],AllocatedQty[Unit3],PackedQty[Unit3],InstructedQty[Unit3],LogicalQty[Unit3],ExpectQty[Unit3],Qty/UOM3,UOM3,StockQty[Unit4],AllocatedQty[Unit4],PackedQty[Unit4],InstructedQty[Unit4],LogicalQty[Unit4],ExpectQty[Unit4],Qty/UOM4,UOM4,StockQty[Unit5],AllocatedQty[Unit5],PackedQty[Unit5],InstructedQty[Unit5],LogicalQty[Unit5],ExpectQty[Unit5],Qty/UOM5,UOM5,StockQty[Unit6],AllocatedQty[Unit6],PackedQty[Unit6],InstructedQty[Unit6],LogicalQty[Unit6],ExpectQty[Unit6],Qty/UOM6,UOM6,Allocated Qty,Packed Qty,Slot Schedule Qty,Logical Inventory Qty,Inventory Schedule Qty,Weight,Allocated Weight,Packed Weight,Slot Schedule Weight,Logical Inventory Weight,Inventory Schedule Weight,Weight Unit,Capacity,Allocated Capacity,Packed Capacity,Slot Schedule Capacity,Logical Inventory Capacity,Inventory Schedule Capacity,Capacity Unit,Lot1,Lot2,Lot3,Lot4,Lot5,Lot7,Lot8,Lot9,Lot10,Lot11,Lot12,Lot13,Lot14,Lot15,Lot16,Lot17,Lot18,Lot19,Lot20,No Shipping Flag,@Weight,@Capacity,Case No. (Prefix),Case No.,Case No. (Suffix),Industrial Lot Key,Industry Lot(String)1,Industry Lot(String)2,Industrial Lot(String)3,Industrial Lot(String)4,Industrial Lot(String)5,Industrial Lot(String)6,Industrial Lot(String)7,Industrial Lot(String)8,Industrial Lot(String)9,Industrial Lot(String)10,Industrial Lot(String)11,Industrial Lot(String)12,Industrial Lot(String)13,Industrial Lot(String)14,Industrial Lot(String)15,Industrial Lot(String)16,Industrial Lot(String)17,Industrial Lot(String)18,Industrial Lot(String)19,Industrial Lot(String)20,Industrial Lot(String)21,Industrial Lot(String)22,Industrial Lot(String)23,Industrial Lot(String)24,Industrial Lot(String)25,Industrial Lot(String)26,Industrial Lot(String)27,Industrial Lot(String)28,Industrial Lot(String)29,Industrial Lot(String)30,Industrial Lot(String)31,Industrial Lot(String)32,Industrial Lot(String)33,Industrial Lot(String)34,Industrial Lot(String)35,Industrial Lot(String)36,Industrial Lot(String)37,Industrial Lot(String)38,Industrial Lot(String)39,Industrial Lot(String)40,Industrial Lot(String)41,Industrial Lot(String)42,Industrial Lot(String)43,Industrial Lot(String)44,Industrial Lot(String)45,Industrial Lot(String)46,Industrial Lot(String)47,Industrial Lot(String)48,Industrial Lot(String)49,Industrial Lot(String)50,Industrial Lot(Date)1,Industrial Lot(Date)2,Industrial Lot(Date)3,Industrial Lot(Date)4,Industrial Lot(Date)5,Industrial Lot(Date)6,Industrial Lot(Date)7,Industrial Lot(Date)8,Industrial Lot(Date)9,Industrial Lot(Date)10,Industrial Lot(Date)11,Industrial Lot(Date)12,Industrial Lot(Date)13,Industrial Lot(Date)14,Industrial Lot(Date)15,Industrial Lot(Date)16,Industrial Lot(Date)17,Industrial Lot(Date)18,Industrial Lot(Date)19,Industrial Lot(Date)20,Receiving OLC No.,IS No.,Customs code,Permit Type,Permit No.,Permit Date,Cargo Type,Bonded No.,Vessel Name,Arrival Date,Permit Flag,Shipping Stop Flag,Shipping Stop Flag (ABL),Billing Code,Billing Owner Name,Contract Dept Code,Contract Dept Name,Category5,Owner Item Code,Supplier Item Code,JAN,ITF,Manufacture Item Code,ABC Classification,RCVActual,Storage Fee Reckoning Date,Pallet Stowage Qty,Building
T034401,VoltEdge Technologies,01-5317-510,Helix Impeller,V1-2-12,1,,1,1,DRUM,07/05/2024,0,,,,,,,Held,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,K/T,0,0,0,0,0,0,M3,3MEG005,2404012,0,,,,,,,,,,,,,,,,,Possible,0,0,,,,3573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034401,"KYODO YUSHI (THAILAND)CO., LTD.",35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,07/05/2024,07/05/2024,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,L2-6-21,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658638,149.2,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,M2-6-7,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658643,150.1,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,M2-6-7,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658647,149.3,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,M2-6-21,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658660,150.7,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,M2-6-21,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658665,151,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,M2-6-6,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658667,150.6,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,M2-6-6,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658670,150.9,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,M2-6-4,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658767,151,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
T034801,NanoCore Systems,02-0771-842,Orion Umbrella,M2-6-4,1,,1,1,BUNDLE,15/08/2023,0,,,,,,,Good,NLCB01,SUZUYO NEW LAEM CHABANG,0,0,0,1,0,,0,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,0,0,0,1,0,0,0,0,0,0,0,kg,0,0,0,0,0,0,M3,000779421,004658782,150.7,,,,,,,,,,,,,,,,,Possible,0,0,,,,3962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domestic,,,,Without permission,Shippable,Shippable,T034801,TEIJIN CORPORATION (THAILAND) LIMITED,35001,SUZUYO DISTRIBUTION CENTER THAILAND LTD.,,,,,,,,15/08/2023,15/08/2023,98901,
